"Sherlock Holmes is a fictional detective created by British author Sir Arthur Conan Doyle. Referring to himself as a ""consulting detective "" in the stories, Holmes is known for his proficiency with observation, deduction, forensic science and logical reasoning that borders on the fantastic, which he employs when investigating cases for a wide variety of clients, including Scotland Yard. ","sherlock holmes,arthur conan doyle,detective"
"#Coronavirus: UK records first death as man on board cruise ship dies

#Uk #Briton #ChinaVirus #DiamondPrincessCruiseShip
https://t.co/S1dgOZOAXV https://t.co/uDEkX0gQGN","coronavirus,uk,death,ship"
"Trump cares more about the health of the stock market than the health of other human beings. 

 #TrumpLiesAboutCoronavirus 

#CoronaVirusUpdates #Coronavirus #COVID19 #COVID2019","trump,health,stock market,human beings"
"International companies set out contingency plans and warn on the impact of coronavirus as Geneva Motorshow is canceled
#pernodricard #genevamotorshow #coronavirus
https://t.co/M7355gZuNF","international,companies,contigency,coronavirus,geneva motorshow"
"The #Coronavirus is forcing the U.S. to examine its dependence on China for its pharmaceutical manufacturing. Before the crisis hit, @Rosemary100 offered a supply chain state-of-play on our podcast. In light of the current crisis, it's worth a listen: https://t.co/9RmFOhw85e","coronavirus, georgia,pharmaceutical"
Stay safe people #Coronavirus #CoronaVirusUpdates #CoronavirusInNigeria 😷✌🏾 https://t.co/0xWVK3D4AK,"coronavirus,coronavirusupdates"
"Thank you for all your support Richard. During this #Coronavirus crisis and all year round! The #MoonBears thank you too.

#BearInTheWindow
#CrisisActionFund https://t.co/Nt5qLmal11","richard,coronavirus,moonbears"
Could a #coronavirus shock push Turkey's economy back into a crisis? Read our updated #countryrisk report. https://t.co/ArJMTjj11p https://t.co/gHbtI03kEa,"coronavirus,turkey,economy"
"""This is really getting ridiculous,"" @NYCMayor tells @BrianLehrer on #AskTheMayor about the CDC not authorizing localities to test for #coronavirus 

NYC is evaluating one man who traveled from Italy, but it will take another day to confirm","askthemayor,getting ridiculous"
"Should school leaders consider shutting down schools for #COVID19 #coronavirusus if this spreads?
If so, for how long? What are the options. 
A 4min podcast: https://t.co/nJpE4Z9zXB
#education #edtech","covid19,schools,shutting down,coronavirus"
"Will ongoing concerns over #COVID19 continue to impact #travel and #cruiselines? #TuneIn for an appearance by Equity Research Analyst, James Hardiman, on @SquawkCNBC, w/ anchors @SaraEisen, @davidfarber &amp; @carlquintanilla at approx. 7:20am(PT)/10:20am(ET), for the latest.","covid19,travel,cruiselines,tuneln,james"
The latest The Osama Bin Javaid Daily! https://t.co/80BSceYjlW #breaking #coronavirus,"osama bin,coronavirus"
Cebu Pacific cancels PH-South Korea flights amid #COVID19 spread https://t.co/mUNawSoJ08,"south korea,covid19"
".@UNC has banned nonessential university-affiliated travel to China and South Korea amid the #coronavirus outbreak.
https://t.co/uSKBDA4Xb9","unc,banned,nonessential,china,south korea,coronavirus"
Emergency rate cuts in response to coronavirus possible only if 'pandemic actually develops': US Fed's Bullard #COVID19 | via @AFP,"coronavirus,emergency,pandemic"
"For all you fans of epi modeling of #COVID19 , new one for #Japan concludes 'there could be a rapid outbreak in Japan if no effective quarantine measures are carried out immediately.""  https://t.co/jpdh4xX4uw","covid19,japan,rapid outbreak,quarantine"
The Public Health Agency of Canada has established a toll-free phone number to answer questions about Coronavirus. Call 1-833-784-4397. #NBHealth #COVID19 https://t.co/3nmhGnAubo,"public health agency,canada,phone,"
"In the wake of #coronavirus outbreak in #Iran, Iranian parliament's winter session closed until further notice. Tehran University cancels classes until the end of New Year (Nowruz) holidays. Schools to remain shut for three more days. Iran govt not taking any chances.","coronavirus,iran,iranian,schools,tehran university"
"#CoronavirusOutbreak | Shouldn’t the world hold China accountable?

#COVID19

Watch #TheRightStand with @AnchorAnandN https://t.co/0jeGPJWd7r","china,accountable,coronavirusoutbreak,covid19"
"Virus hits markets: Factors behind the Sensex, Nifty crash.
#sensex #Nifty #coronavirus #CoronaVirusUpdates #China #economy #sharemarket #shares #stockmarkets https://t.co/rwTuMWmcgy","virus,sensex,nifty,crash,coronavirus,coronavirusupdates,china,economy,sharemarket,shares,scokmarkets"
”The NCDC will continue to keep Nigerians informed. https://t.co/Jc2sSovoW5 #Coronavirus #covid19 #Lagos #Nigeria,"nigerians,ncdc,coronavirus"
WATCH: A SWAT team in China's Henan province practiced taking down an uncooperative driver in a staged drill at an official #coronavirus checkpoint https://t.co/XzHUE4GSfE,"swat,coronavirus"
